ID;Код СМО в едином реестре ОМС;ОГРН;КПП;Полное наименование СМО;Краткое наименование СМО;Фактический адрес, заданный в строку;Фамилия руководителя;Имя руководителя;Отчество руководителя;Телефон (с кодом города);Факс (с кодом города);Телефон «горячей линии» СМО;Адрес электронной почты;Номер лицензии СМО;Дата выдачи лицензии СМО;Дата окончания действия лицензии СМО;Дата включения в реестр СМО;Дата исключения из реестра СМО
161;57003;1025004642519;575243002;"ОРЛОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"ОРЛОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";Г. ОРЕЛ, УЛ. КОМСОМОЛЬСКАЯ, Д. 176 Б;ЛОМАКИНА;ТАТЬЯНА;ЛЕОНИДОВНА;8-4862-303990:1520;8-000-000000;8-800-2009204;OR@RESO-MED.COM;ОС № 0879-01;29.08.2019;31.12.2099;22.07.2011;
162;57004;1027739449913;575343001;"ФИЛИАЛ ""ОРЛОВСКИЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА - М""";"ФИЛИАЛ ""ОРЛОВСКИЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";ОРЛОВСКАЯ ОБЛАСТЬ, Г. ОРЕЛ, УЛ. ОКТЯБРЬСКАЯ, Д. 24;КОНОВАЛОВА;ИРИНА;ВИКТОРОВНА;8-4862-430050;8-4862-430050;8-800-7700799;S.V.OREL@MAIL.RU;ОС №2354-01;13.04.2020;31.12.2099;21.08.2014;
163;57007;1177746612581;772301001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ООО ВТБ МС;ОРЛОВСКАЯ ОБЛАСТЬ, Г. ОРЕЛ, УЛ. 3-Я КУРСКАЯ, Д. 15;ГЕРГЕСОВ;ИЛЬЯ;МИХАЙЛОВИЧ;8-495-6444404:4253;8-000-00000;8-800-1008005;VTBMS@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;17.05.2017;27.03.2020
164;58004;1027739099772;583645001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ ПЕНЗЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г.ПЕНЗЕ";ПЕНЗЕНСКАЯ ОБЛ., Г.ПЕНЗА, УЛ. КИРОВА, Д.42;ГАГАРИНСКИЙ;ДМИТРИЙ;АНАТОЛЬЕВИЧ;8-8412-565973, 8-8412-523506;8-8412-523506;8-800-1008044;PENZAM@MAKC.RU, GAGARINSKIIDA@MAKC.RU;ОС № 2226-01;23.01.2017;31.12.2099;30.03.2011;
165;58006;1027806865481;583643001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В ПЕНЗЕНСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В ПЕНЗЕНСКОЙ ОБЛАСТИ";ПЕНЗЕНСКАЯ ОБЛ., Г.ПЕНЗА, УЛ.ШЕВЧЕНКО, 5;КОВАЛЕВ;ВАДИМ;АЛЕКСАНДРОВИЧ;8-8412-461161, 8-8412-461165;8-8412-461165;8-800-1008044;KOVALEV.VADIM@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;30.03.2011;
166;59015;1027739099772;775001001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В Г.ПЕРМИ";"АО ""МАКС-М""";Г.ПЕРМЬ, УЛ.ПУШКИНА,78А;БОРИСОВА;ЕЛЕНА;НИКОЛАЕВНА;8-342-2190928;8-342-2190927;8-800-7000561;PERM_MM@MAKC.RU;ОС № 2226-01;23.01.2017;31.12.2099;01.01.2011;
167;59018;1126679000150;590443001;"ФИЛИАЛ СТРАХОВОЙ МЕДИЦИНСКОЙ КОМПАНИИ ""АСТРАМЕД-МС"" (АО) В Г.ПЕРМЬ";"СМК ""АСТРАМЕД-МС"" (АО) В Г.ПЕРМЬ";Г.ПЕРМЬ, УЛ.БЕЛИНСКОГО, 47А;СМИРНОВ;АЛЕКСАНДР;АНДРЕЕВИЧ;8-342-2410031;8-342-2444999;8-800-7000561;INFO_UAMP@ASTRAMED_MS.RU;ОС № 1372-01;13.10.2015;31.12.2099;01.01.2011;
168;59019;1027739449913;590402001;"ФИЛИАЛ ""ПЕРМСКИЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА - М""";"ФИЛИАЛ ""ПЕРМСКИЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА - М""";Г.ПЕРМЬ, УЛ.ГЕРОЕВ ХАСАНА, 7А;КОРОБЕЙНИКОВА;ОЛЬГА;ВИКТОРОВНА;8-342-2197985;8-342-2443633;8-800-7000561;SPASVORM@MAIL.RU;ОС 2354-01;08.09.2015;31.12.2099;01.01.2011;
169;59020;1027806865481;590443001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ""";"ООО ""КАПИТАЛ МС""";Г.ПЕРМЬ, УЛ.Г.ХАСАНА, 9;МУНГАЛОВА;МАРИНА;ВАЛЕНТИНОВНА;8-342-2443758;8-342-2495060;8-800-7000561;RGSMEDICINA@LPU.PERM.RU;ОС № 3676-01;16.11.2018;31.12.2099;01.01.2011;
170;59021;1025004642519;590243002;"ПЕРМСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""РЕСО-МЕД""";"ПЕРМСКИЙ ФИЛИАЛ ООО ""СМК ""РЕСО-МЕД""";Г.ПЕРМЬ, УЛ.ГОРЬКОГО, 9;КУДРЯВЦЕВА;ОЛЬГА;ВЛАДИМИРОВНА;8-342-2111522;8-342-2111522;8-800-7000561;RESOMED@LPU.PERM.RU;ОС 0879-01;10.08.2017;31.12.2099;01.01.2011;
171;60001;1027739099772;602702001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ ПСКОВЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г. ПСКОВЕ";ПСКОВСКАЯ ОБЛАСТЬ, ГОРОД ПСКОВ, УЛ. РОЗЫ ЛЮКСЕМБУРГ, Д. 12;ШАШИНА;АННА;НИКОЛАЕВНА;8-8112-727555;8-8112-727555;8-800-5555503;SHASHINAAN@MAKCM.RU;ОС № 2226-01;23.01.2017;31.12.2099;01.01.2011;
172;61001;1026103708729;616401001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МЕДИЦИНСКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ПАНАЦЕЯ""";"ООО МСО ""ПАНАЦЕЯ""";РОСТОВСКАЯ ОБЛАСТЬ, ГОРОД РОСТОВ-НА-ДОНУ, УЛИЦА МЕЧНИКОВА, ДОМ 39;ЭСТРИН;ВЛАДИМИР;ВЛАДИМИРОВИЧ;8-863-2275127;8-863-2275127;8-800-2000868;MEDINSUR@AAANET.RU;ОС №0173-01;03.08.2017;31.12.2099;01.01.2011;
173;61013;1027739099772;616443001;"РОСТОВСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ""";"РОСТОВСКИЙ ФИЛИАЛ АО ""МАКС-М""";Г. РОСТОВ-НА-ДОНУ, УЛ. СТАНИСЛАВСКОГО, ДОМ 8 КОРПУС А;ФУРСОВА;ИННА;ЮРЬЕВНА;8-863-2270287;8-863-2270287;8-800-5550003;FURSOVAIY@MAKCM.RU;ОС № 2226-01;23.01.2017;31.12.2099;01.01.2011;
174;61017;1027739008440;616302001;"РОСТОВСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"РОСТОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";Г.РОСТОВ-НА-ДОНУ, ПРОСПЕКТ ВОРОШИЛОВСКИЙ ДОМ 39/115;МАКЛАКОВ;ИГОРЬ;НИКОЛАЕВИЧ;8-863-2185083;8-863-2185083;8-800-1000702;RND@SOGAZ-MED.RU;OC № 3230-01;28.02.2019;31.12.2099;01.01.2011;
175;61022;1027806865481;616543001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РОСТОВСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РОСТОВСКОЙ ОБЛАСТИ";Г. РОСТОВ-НА-ДОНУ, УЛИЦА КОЗЛОВА, ДОМ 74;АЛЬПЕРОВИЧ;ДМИТРИЙ;ВАЛЕРЬЕВИЧ;8-863-2993660;8-863-2993660;8-800-1008101;OMS_RND@KAPMED.RU;OC № 3676-01;16.11.2018;31.12.2099;01.01.2011;
176;61024;1047100775963;616343001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСТРАХОВАНИЕ-ОМС"" ФИЛИАЛ ""АССТРА""";"ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС"" ФИЛИАЛ ""АССТРА""";Г. РОСТОВ-НА-ДОНУ, ВОРОШИЛОВСКИЙ ПРОСПЕКТ, 62/284;СЕЛЕЗНЕВ;ЮРИЙ;АЛЕКСАНДРОВИЧ;8-863-2950555;8-863-2950074;8-800-5551001;SELEZNEVVA1@ALFASTRAH.RU;ОС № 0193-01;03.08.2017;31.12.2099;13.08.2013;
177;62002;1177746612581;623443001;РЯЗАНСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;РЯЗАНСКИЙ ФИЛИАЛ ООО ВТБ МС;Г. РЯЗАНЬ, ПЕРВОМАЙСКИЙ ПР-Т, Д.27;ФИЛЬКИНА;ЛЮДМИЛА;ФЕДОРОВНА;8-4912-621022;8-4912-621022:4001;8-800-1008005;RYAZAN-MS@VTBMS.RU;ОС №2890-01;14.09.2017;14.09.2099;01.03.2011;26.03.2020
178;62003;1027739008440;623445001;"РЯЗАНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"РЯЗАНСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";Г.РЯЗАНЬ, ПЕРВОМАЙСКИЙ ПРОСПЕКТ, Д.41;ФИЛЬКИНА;ЛЮДМИЛА;ФЕДОРОВНА;8-4912-985190;8-4912-341099;8-800-1000702;RYAZAN@SOGAZ-MED.RU;ОС №3230-01;28.02.2019;31.12.2099;01.03.2011;
179;62006;1027806865481;623402001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЯЗАНСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РЯЗАНСКОЙ ОБЛАСТИ";РФ, РЯЗАНСКАЯ ОБЛАСТЬ, Г.РЯЗАНЬ, ЦВЕТНОЙ БУЛЬВАР, Д.10;ЮДИН-БЕСЕДИН;ВИКТОР;ВИКТОРОВИЧ;8-491-2908008;8-491-2908008;8-800-1008101;OMS.RYAZAN@KAPMED.RU, VICTOR.YUDIN-BESEDIN@KAPMED.;ОС-№ 3676-01;16.11.2018;31.12.2099;03.08.2015;
180;63001;1026300954789;631501001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""АСКОМЕД""";"АО СК ""АСКОМЕД""";САМАРСКАЯ ОБЛАСТЬ, Г. САМАРА, УЛ. ЛЕНИНСКАЯ,119;ЦВЕТКОВ;ЮРИЙ;ДМИТРИЕВИЧ;8-846-3325519, 8-846-3324998;8-846-3325519;8-800-3028351;REFERENT@ASKOMED.RU;ОС № 0278 - 01;22.05.2015;31.12.2099;15.04.2011;
181;63023;1027739099772;631543001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ САМАРЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г. САМАРЕ";САМАРСКАЯ ОБЛАСТЬ, Г. САМАРА, УЛ. МОЛОДОГВАРДЕЙСКАЯ, Д.139;ОСАУЛЕНКО;МАРИЯ;АЛЕКСЕЕВНА;8-846-3130330, 8-846-3130326;8-846-3130330;8-800-5554403;OSAULENKOMA@MAKCM.RU;ОС №2226-01;23.01.2017;31.12.2099;15.04.2011;
182;64005;1177746612581;645443001;САРАТОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;САРАТОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;САРАТОВСКАЯ ОБЛАСТЬ, ГОРОД САРАТОВ, УЛИЦА ИМ. ЯБЛОЧКОВА П.Н., ДОМ 26/28;ПАВЛОВА;ЛАРИСА;НИКОЛАЕВНА;8-8452-309410;8-8452-309410;8-800-1008005;PAVLOVALN@VTBMS.RU;ОС №2890-01;14.09.2017;31.12.2099;01.01.2011;27.03.2020
183;64008;1027739008440;645502001;"САРАТОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"САРАТОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";САРАТОВСКАЯ ОБЛАСТЬ, ГОРОД САРАТОВ, УЛИЦА ИМ. ЯБЛОЧКОВА П.Н., ДОМ 26/28;ПАВЛОВА;ЛАРИСА;НИКОЛАЕВНА;8-8452-653033;8-8452-653033;8-800-1000702;SARATOV@SOGAZ-MED.RU;ОС №3230-01;28.02.2019;31.12.2099;01.01.2011;
184;64014;1027739099772;645443001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ САРАТОВЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г.САРАТОВЕ";САРАТОВСКАЯ ОБЛАСТЬ, ГОРОД САРАТОВ, УЛИЦА УЛЬЯНОВСКАЯ, ДОМ 37/41;КИРЮХИНА;ТАТЬЯНА;ВЛАДИСЛАВОВНА;8-8452-548380;8-8452-548380;8-800-5557703;SARMED@MAKC.RU;ОС № 2226 - 01;23.01.2017;31.12.2099;01.01.2011;
185;64015;1027806865481;645043001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В САРАТОВСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В САРАТОВСКОЙ ОБЛАСТИ";САРАТОВСКАЯ ОБЛАСТЬ, ГОРОД САРАТОВ, УЛИЦА ПЕРВОМАЙСКАЯ, 64-Д;ЗАХАРЧУК;ИГОРЬ;БОРИСОВИЧ;8-8452-235051;8-8452-235051;8-800-7753085;IGOR.ZAHARCHUK@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;01.01.2011;
186;65001;1027739008440;650102001;"САХАЛИНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"САХАЛИНСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";САХАЛИНСКАЯ ОБЛАСТЬ, Г.ЮЖНО-САХАЛИНСК, УЛ.КУРИЛЬСКАЯ , Д.38, ПОМЕЩЕНИЕ 2;МИХАЙЛОВСКАЯ;ЕЛЕНА;ЛЕОНИДОВНА;8-4242-311190;8-4242-311190;8-800-1000702;SAKHALINSK@SOGAZ-MED.RU;ОС№3230-01;28.02.2019;31.12.2099;01.01.2011;
187;66004;1126679000150;667901001;"СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""АСТРАМЕД-МС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";"СМК ""АСТРАМЕД-МС"" (АО)";СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ЕКАТЕРИНБУРГ, УЛ. 8 МАРТА,37;ШАНДАЛОВ;ГЕОРГИЙ;АНДРЕЕВИЧ;8-343-3805396;8-343-3859016;8-800-2507944;INFO@ASTRAMED-MS.RU;ОС №1372-01;13.10.2015;31.12.2099;01.01.2011;
188;66013;1026605234743;667001001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ CТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""УРАЛ-РЕЦЕПТ М""";"ООО СМК ""УРАЛ-РЕЦЕПТ М""";СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ЕКАТЕРИНБУРГ, УЛ. КАРЛА ЛИБКНЕХТА 22, ОФ.302;ЩЕРБАКОВ;ДЕНИС;ИГОРЕВИЧ;8-343-2868080, 8-343-2864400;8-343-2868080;8-800-2017539;MAIL@U-RM.RU;ОС №1457-01;21.12.2015;31.12.2099;01.01.2011;
189;66062;1026605252871;667001001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""УГМК-МЕДИЦИНА""";"ООО СМК ""УГМК-МЕДИЦИНА""";СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ЕКАТЕРИНБУРГ, УЛ. ПЕРВОМАЙСКАЯ, 15;ЛЕОНТЬЕВ;ИГОРЬ;ЛЕОПОЛЬДОВИЧ;8-343-2830500;8-343-2830500;8-800-3502694;OFFICE@UGMK-MEDICINA.RU;ОС№3313-01;31.07.2015;31.12.2099;01.01.2011;
190;66063;1027739008440;668543002;"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г.ЕКАТЕРИНБУРГ, УЛ.КУЙБЫШЕВА, 95;ИСТОМИН;АЛЕКСАНДР;НИКОЛАЕВИЧ;8-343-3178858, 8-343-3178860;8-343-3178858;8-800-1000702;ISTOMIN.ALEXANDR@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;01.01.2011;
191;66070;1045207042528;667143001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г. ЕКАТЕРИНБУРГЕ";"ФИЛИАЛ ООО ""СК""ИНГОССТРАХ-М"" В Г.ЕКАТЕРИНБУРГЕ";СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ЕКАТЕРИНБУРГ, УЛ. 8 МАРТА, 51;ВАГИНА;НАТАЛЬЯ;ВИКТОРОВНА;8-343-3111599;8-343-3111599;8-343-3111599;NATALYA.VAGINA@INGOS.RU;ОС №3837-01;09.09.2019;31.12.2099;01.01.2011;
192;66074;1177746612581;665843001;СВЕРДЛОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;СВЕРДЛОВСКИЙ ФИЛИАЛ ООО ВТБ МС;СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ЕКАТЕРИНБУРГ, УЛ. КУЙБЫШЕВА, Д . 95;МАНТУСОВ;ДМИТРИЙ;СЕРГЕЕВИЧ;8-343-3123273;8-343-2867098;8-800-1008005;MANTUSOVDS@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;01.04.2011;26.03.2020
193;67002;1027739008440;673143001;"СМОЛЕНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"СМОЛЕНСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";СМОЛЕНСКАЯ ОБЛ., Г.СМОЛЕНСК, УЛ.УРИЦКОГО, 17А;ВТОРУШИНА;ГАЛИНА;ГЕННАДЬЕВНА;8-4812-250354;8-4812-250358;8-800-1000702;SMOLENSK@SOGAZ-MED.RU;ОС№3230-01;28.02.2019;23.08.2099;15.04.2011;
194;67003;1027739099772;673045002;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В Г.СМОЛЕНСКЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г.СМОЛЕНСКЕ";СМОЛЕНСКАЯ ОБЛ., Г.СМОЛЕНСК, ПЕР.УЛЬЯНОВА, 9;ЦИМБАЛЮК;ЕКАТЕРИНА;ВЛАДИМИРОВНА;8-4812-356212;8-4812-356212;8-800-7072241;SMOLENSK@MAKCM.RU;ОС №2226-01;23.01.2017;23.01.2099;15.04.2011;
195;67004;1027806865481;673143001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В СМОЛЕНСКОЙ ОБЛАСТИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В СМОЛЕНСКОЙ ОБЛАСТИ";СМОЛЕНСКАЯ ОБЛ., Г.СМОЛЕНСК, УЛ.ПАМФИЛОВА, 5;УЛЬЯНЕНКОВ;КОНСТАНТИН;ВИКТОРОВИЧ;8-4812-339887;8-4812-339887;8-800-3024552;OMS.SMOLENSK@KAPMED.RU, KONSTANTIN.ULYANENKOV@KAPM;ОС №3676-01;16.11.2018;16.11.2099;15.04.2011;
196;67005;1027739449913;673243001;"ФИЛИАЛ ""СМОЛЕНСКИЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";"ФИЛИАЛ ""СМОЛЕНСКИЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";СМОЛЕНСКАЯ ОБЛ., Г.СМОЛЕНСК, УЛ. ГЕРЦЕНА, Д.3, 1 ЭТАЖ;ТРУБИНОВ;АНДРЕЙ;ЮРЬЕВИЧ;8-4812-642175;8-4812-642175;8-800-3017677;SV67.OMS@MAIL.RU;ОС№2354-01;13.04.2020;13.04.2099;15.04.2011;
197;68004;1027739008440;682943001;"ТАМБОВСКИЙ ФИЛИАЛ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ТАМБОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ТАМБОВ, ПЛОЩАДЬ УСПЕНСКАЯ, Д. 1Ж;СЕМЕНОВА;ЕЛЕНА;НИКОЛАЕВНА;8-475-2783333;8-475-2783333;8-800-1008005;TOE@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;19.08.2014;
198;68006;1177746612581;682943001;ТАМБОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ТАМБОВСКИЙ ФИЛИАЛ ООО ВТБ МС;Г. ТАМБОВ, УСПЕНСКАЯ ПЛ. 1Ж;СЕМЕНОВА;ЕЛЕНА;НИКОЛАЕВНА;8-4752-783333;8-4752-783333;8-800-1008005;TAMBOV@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;17.05.2017;26.03.2020
199;69001;1025004642519;695043002;"ТВЕРСКОЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"ТВЕРСКОЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";ТВЕРСКАЯ ОБЛАСТЬ, Г.ТВЕРЬ, ПР-КТ ЧАЙКОВСКОГО, Д.6, КОР.1, 3 ЭТАЖ;ГРЕЧКОСИЙ;РУСЛАН;СЕРГЕЕВИЧ;8-4822-783848;8-4822-783848;8-800-2009204;GRS@RESO-MED.COM;ОС № 0879-01;29.08.2019;31.12.2099;01.01.2011;
200;69005;1027739099772;695043001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В Г. ТВЕРИ";"ФИЛИАЛ АО ""МАКС-М"" В Г. ТВЕРИ";ТВЕРСКАЯ ОБЛАСТЬ, Г. ТВЕРЬ, УЛ.СОВЕТСКАЯ, Д.28;ЖУК;ЕКАТЕРИНА;ВЛАДИМИРОВНА;8-4822-331774;8-4822-331746;8-800-3337703;MAKCM69@MAKCM.RU;ОС №2226-01;23.01.2017;31.12.2099;01.01.2011;
201;69007;1027739449913;695043001;"ФИЛИАЛ ""ТВЕРСКОЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";"ФИЛИАЛ ""ТВЕРСКОЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";ТВЕРСКАЯ ОБЛАСТЬ,Г.ТВЕРЬ, ПРОСПЕКТ ПОБЕДЫ, ДОМ 42;ШВЕЦОВА;ЕЛЕНА;МИХАЙЛОВНА;8-4822-339773;8-4822-339773;8-800-1006466;SPASMED@GMAIL.COM;ОС №2354-01;13.04.2020;31.12.2099;01.01.2011;
